study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA36679	SAMN00014257	SRS004127	SRX006282	SRR018574	7227	Drosophila melanogaster	Illumina Genome Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018574/SRR018574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018574/SRR018574_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018574/SRR018574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018574/SRR018574_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018574	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018574		
PRJNA36679	SAMN00014257	SRS004127	SRX006283	SRR018575	7227	Drosophila melanogaster	Illumina Genome Analyzer	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018575/SRR018575.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018575/SRR018575.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018575	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018575		
PRJNA36679	SAMN00014259	SRS004130	SRX006289	SRR018579	7227	Drosophila melanogaster	Illumina Genome Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018579/SRR018579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018579/SRR018579_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018579/SRR018579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018579/SRR018579_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018579	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018579		
PRJNA36679	SAMN00014259	SRS004130	SRX006290	SRR018580	7227	Drosophila melanogaster	Illumina Genome Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018580/SRR018580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018580/SRR018580_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018580/SRR018580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018580/SRR018580_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018580	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018580		
PRJNA36679	SAMN00014259	SRS004130	SRX006291	SRR018581	7227	Drosophila melanogaster	Illumina Genome Analyzer	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018581/SRR018581.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018581/SRR018581.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018581	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018581		
PRJNA36679	SAMN00014260	SRS004131	SRX006292	SRR018582	7227	Drosophila melanogaster	Illumina Genome Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018582/SRR018582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018582/SRR018582_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018582/SRR018582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018582/SRR018582_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018582	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018582		
PRJNA36679	SAMN00014260	SRS004131	SRX006293	SRR018583	7227	Drosophila melanogaster	Illumina Genome Analyzer	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018583/SRR018583.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018583/SRR018583.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018583	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018583		
PRJNA36679	SAMN00014260	SRS004131	SRX006293	SRR018584	7227	Drosophila melanogaster	Illumina Genome Analyzer	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018584/SRR018584.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018584/SRR018584.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018584	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018584		
PRJNA36679	SAMN00014261	SRS004133	SRX006300	SRR018591	7227	Drosophila melanogaster	Illumina Genome Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018591/SRR018591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018591/SRR018591_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018591/SRR018591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018591/SRR018591_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018591	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018591		
PRJNA36679	SAMN00014261	SRS004133	SRX006300	SRR018592	7227	Drosophila melanogaster	Illumina Genome Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018592/SRR018592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018592/SRR018592_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018592/SRR018592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018592/SRR018592_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018592	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018592		
PRJNA36679	SAMN00014261	SRS004133	SRX006300	SRR018593	7227	Drosophila melanogaster	Illumina Genome Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018593/SRR018593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018593/SRR018593_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018593/SRR018593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018593/SRR018593_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018593	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018593		
PRJNA36679	SAMN00014261	SRS004133	SRX006301	SRR018594	7227	Drosophila melanogaster	Illumina Genome Analyzer	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018594/SRR018594.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018594/SRR018594.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018594	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018594		
PRJNA36679	SAMN00014261	SRS004133	SRX006302	SRR018595	7227	Drosophila melanogaster	Illumina Genome Analyzer	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018595/SRR018595.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018595/SRR018595.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018595	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018595		
PRJNA36679	SAMN00014261	SRS004133	SRX006303	SRR018596	7227	Drosophila melanogaster	Illumina Genome Analyzer	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018596/SRR018596.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018596/SRR018596.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018596	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018596		
PRJNA36679	SAMN00014261	SRS004133	SRX006303	SRR018597	7227	Drosophila melanogaster	Illumina Genome Analyzer	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018597/SRR018597.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018597/SRR018597.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018597	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018597		
PRJNA36679	SAMN00014262	SRS004134	SRX006304	SRR018598	7227	Drosophila melanogaster	Illumina Genome Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018598/SRR018598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018598/SRR018598_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018598/SRR018598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018598/SRR018598_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018598	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018598		
PRJNA36679	SAMN00014262	SRS004134	SRX006304	SRR018599	7227	Drosophila melanogaster	Illumina Genome Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018599/SRR018599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018599/SRR018599_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018599/SRR018599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018599/SRR018599_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018599	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018599		
PRJNA36679	SAMN00014262	SRS004134	SRX006304	SRR018600	7227	Drosophila melanogaster	Illumina Genome Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018600/SRR018600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018600/SRR018600_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018600/SRR018600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018600/SRR018600_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018600	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018600		
PRJNA36679	SAMN00014262	SRS004134	SRX006304	SRR018601	7227	Drosophila melanogaster	Illumina Genome Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018601/SRR018601_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018601/SRR018601_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018601/SRR018601_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018601/SRR018601_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018601	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018601		
PRJNA36679	SAMN00014262	SRS004134	SRX006304	SRR018602	7227	Drosophila melanogaster	Illumina Genome Analyzer	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018602/SRR018602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018602/SRR018602_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018602/SRR018602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018602/SRR018602_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018602	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018602		
PRJNA36679	SAMN00014262	SRS004134	SRX006305	SRR018603	7227	Drosophila melanogaster	Illumina Genome Analyzer	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018603/SRR018603.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR018/SRR018603/SRR018603.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018603	ftp.sra.ebi.ac.uk/vol1/srr/SRR018/SRR018603		
PRJNA36679	SAMN00014257	SRS004127	SRX006283	SRR029943	7227	Drosophila melanogaster	Illumina Genome Analyzer	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR029/SRR029943/SRR029943.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR029/SRR029943/SRR029943.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR029/SRR029943	ftp.sra.ebi.ac.uk/vol1/srr/SRR029/SRR029943		
PRJNA36679	SAMN00014226	SRS003442	SRX015853	SRR034239	7227	Drosophila melanogaster	454 GS FLX Titanium	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034239/SRR034239.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034239/SRR034239.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034239	ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034239		
PRJNA36679	SAMN00014226	SRS003442	SRX015853	SRR034240	7227	Drosophila melanogaster	454 GS FLX Titanium	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034240/SRR034240.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034240/SRR034240.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034240	ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034240		
PRJNA36679	SAMN00014226	SRS003442	SRX015853	SRR034241	7227	Drosophila melanogaster	454 GS FLX Titanium	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034241/SRR034241.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034241/SRR034241.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034241	ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034241		
PRJNA36679	SAMN00014226	SRS003442	SRX015853	SRR034242	7227	Drosophila melanogaster	454 GS FLX Titanium	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034242/SRR034242.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034242/SRR034242.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034242	ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034242		
PRJNA36679	SAMN00014226	SRS003442	SRX015853	SRR034243	7227	Drosophila melanogaster	454 GS FLX Titanium	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034243/SRR034243.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034243/SRR034243.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034243	ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034243		
PRJNA36679	SAMN00014229	SRS003448	SRX015854	SRR034244	7227	Drosophila melanogaster	454 GS FLX Titanium	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034244/SRR034244.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034244/SRR034244.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034244	ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034244		
PRJNA36679	SAMN00014229	SRS003448	SRX015854	SRR034245	7227	Drosophila melanogaster	454 GS FLX Titanium	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034245/SRR034245.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034245/SRR034245.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034245	ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034245		
PRJNA36679	SAMN00014229	SRS003448	SRX015854	SRR034246	7227	Drosophila melanogaster	454 GS FLX Titanium	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034246/SRR034246.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034246/SRR034246.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034246	ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034246		
PRJNA36679	SAMN00014229	SRS003448	SRX015854	SRR034247	7227	Drosophila melanogaster	454 GS FLX Titanium	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034247/SRR034247.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034247/SRR034247.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034247	ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034247		
PRJNA36679	SAMN00014229	SRS003448	SRX015854	SRR034248	7227	Drosophila melanogaster	454 GS FLX Titanium	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034248/SRR034248.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034248/SRR034248.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034248	ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034248		
PRJNA36679	SAMN00014230	SRS003467	SRX015855	SRR034249	7227	Drosophila melanogaster	454 GS FLX Titanium	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034249/SRR034249.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034249/SRR034249.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034249	ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034249		
PRJNA36679	SAMN00014230	SRS003467	SRX015855	SRR034250	7227	Drosophila melanogaster	454 GS FLX Titanium	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034250/SRR034250.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034250/SRR034250.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034250	ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034250		
PRJNA36679	SAMN00014230	SRS003467	SRX015855	SRR034251	7227	Drosophila melanogaster	454 GS FLX Titanium	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034251/SRR034251.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034251/SRR034251.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034251	ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034251		
PRJNA36679	SAMN00014230	SRS003467	SRX015855	SRR034252	7227	Drosophila melanogaster	454 GS FLX Titanium	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034252/SRR034252.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034252/SRR034252.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034252	ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034252		
PRJNA36679	SAMN00014255	SRS004125	SRX015856	SRR034253	7227	Drosophila melanogaster	454 GS FLX Titanium	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034253/SRR034253.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR034/SRR034253/SRR034253.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034253	ftp.sra.ebi.ac.uk/vol1/srr/SRR034/SRR034253		
